country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
Austria,Salzburg,Tennengebirge,Eisriesenwelt,,AT-1511/24,47.511,13.193,1657, >42000,407,,limestone,,permanent ice,"surface area covered by ice 28,000 m^2",,,May et al. (2011) https://doi.org:10.5194/tc-5-81-2011; Obleitner and Spötl (2011) https://doi.org:10.5194/tc-5-245-2011; Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; Margesin et al. (2004) https://doi.org:10.1099/ijs.0.63124-0,guided tourist cave,
Austria,Steiermark; Oberösterreich,Totes Gebirge,Schönberg-Höhlensystem,,AT-1626/300,47.718,13.787,1459-1933,149123,1061,34,,,permanent ice,"perennial ice found near entrances of Feuertal-Eishöhle, Raucherkarhöhle, and Altarkögerlhöhle",,Feuertal-Eishöhle; Raucherkarhöhle; Altarkögerlhöhle,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste,,
Austria,,,Feuertal-Eishöhle,,,,,1718,,,,,,permanent ice,,Schönberg-Höhlensystem,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Oberösterreich,Dachstein,Dachstein-Mammuthöhle,,AT-1547/9,47.534,13.708,927-1828; 1391 main entrance,67437,1207,21,,,permanent ice,perennial ice near western entrance (Westeingang) 1391masl,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; Die Höhle #55 7-2004,,
Austria,,,Hundsalm Eis- und Tropfsteinhöhle,,,47.545,12.027,,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,,Sarstein,Eisgruben-Eishöhle,,,,,1720 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Salzburg,Tennengebirge,Schneeloch,,AT-1511/7,,,1450 main entrance,10319,1101,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9; https://hoehle.org/laengste-tiefste,,
Austria,Steiermark,Schneealpe,Schneeloch,,AT-1851/7,,,1440,721,68,,,,permanent ice,,,,Die Höhle #61 1-4/2010,,
Austria,,Hochschwab,Beilstein Eishöhle,,,,,1308 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,,Sengsengebirge,Kraterschacht,,,,,1531 main entrance,,,,,,permanent ice,,,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Austria,Salzburg,Tennengebirge,Eiskogelhöhle,Eiskogel-Tropfsteinhöhle,AT-1511/101,47.49500,13.28922,2110,~4600,420,,,,permanent ice,,Eiskogel-Richter-Höhle,,https://de.wikipedia.org/wiki/Eiskogelh%C3%B6hle,guided tourist cave,
Austria,Tirol,Tennengebirge,Hundalm Eishöhle,Hundalm Eis- und Tropfsteinhöhle,,47.5450,12.0264,1515,264,55,,,,permanent ice,,,,https://de.wikipedia.org/wiki/Hundalm-Eish%C3%B6hle,guided tourist cave,
Austria,Salzburg; Grödig,Untersberg,Kolowrathöhle,,,47.72792,13.00858,1391,38000,,,,,permanent ice,,Gamslöcher-Kolowrat-Salzburgerschacht-System,,Spötl et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00013-9,,
Canada,Yukon,Ni’iinlii Njik / Old Crow,Tsi Tse Han Cave,,,66.3,-139.3,750,50,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Yukon,Ni’iinlii Njik / Old Crow,Grande Caverne Glacee,,,66.3,-139.3,750–950,90,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Yukon,Ni’iinlii Njik / Old Crow,Caverne des Meandres,,,66.7,-139.3,750–950,100,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Yukon,Ni’iinlii Njik / Old Crow,Bear Cave,,,66,-139.3,750–950, >55,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Yukon,Ni’iinlii Njik / Old Crow,Caverne ‘85,,,66.8,-139.3,750–950,40,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni Canyon,Grotte Valerie Ice Cave,,,61.3,-124.1,,2002,,,,,permanent ice,hoarfrost; permafrost / cold zone,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni Canyon,Mickey,,,61.3,-124.1,,2270,,,,,permanent ice,permafrost / cold trap; Four areas of ice now sealed,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni Karst / Lafferty Creek,Andree,,,,,,1205,,,,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni North Karst,Igloo,,,61.5,-124.2,,~600,,,,,permanent ice,cold trap; Spectacular ice,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni North Karst,Arnica,,,61.5,-124.2,,242,,,,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Northwest Territories,Nahanni North Karst,Black Ice Cave,,,61.5,-124.2,,,,,,,permanent ice,,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Kananaskis,Canyon Creek,Bragg Creek Ice Cave; Moose Mountain Ice Cave,,50.9,-114.8,1769,727,,,limestone,,permanent ice,cold zone,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Kananaskis,Plateau Mountain,,,50.3,-114.5,2226,410,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass; Rocky Mountains,Booming Ice Chasm,,,49.61667,-114.63333,2189,961,,,,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2; https://en.wikipedia.org/wiki/Booming_Ice_Chasm,,
Canada,Alberta,Crowsnest Pass,Glittering Ice Palace,,,,,2226,286,,,,,permanent ice,Hoarfrost; permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass,Coultard,,,,,2440,370,,,,,permanent ice,permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass,Ice Chest,,,,,2250,381,,,,,permanent ice,Extrusion ice; permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass,Serendipity,,,,,2165,473,,,,,permanent ice,Extrusion ice; permafrost,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass,Flop Pot,,,,,2165,200,,,,,permanent ice,Flood ice; cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Crowsnest Pass,Ice Hall,,,,,2180,130,,,,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,Crowsnest Pass,Rats Hole,,,,,2455,130,,,,,permanent ice,permafrost / cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,White Ridges Provincial Park; Vancouver Island,,Q5,,49.8,-126.0,1200,1867,,,,,permanent ice,cold trap,,,"Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2; Canadian Caver 9/2, 16/1 1984, 16/2, 28/1, 29/2, 61/9",,
Canada,British Columbia,White Ridges Provincial Park; Vancouver Island,Projects Cave,,,49.8,-126.0,1050, >130,,,,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Jasper National Park; Columbia Icefield,Castleguard Cave,,,52.1,-117.2,2016,21068,387,,limestone,,permanent ice,Active/relict cold zone; Cambrian,,,"Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2; Canadian Caver 2:26, 5/1:21, 11/1:28, 12/1:3, 15/2:7, 19/2:22, 59:7, 63:4, 66:4, 71:4, 73:20, 80:28; https://en.wikipedia.org/wiki/Castleguard_Cave",,
Canada,Alberta,Jasper National Park,Disaster Point Ice Cave,,,53.0,-118.1,1082,673,,,,,permanent ice,cold trap; Devonian Palliser Formation,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Jasper National Park,Ice Trap,,,53.1,-118.3,2400,3002,,,,,permanent ice,permafrost / cold zone; Devonian Palliser Formation,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Jasper National Park,Mount Alberta Cave,,,52.3,-117.5,3350, ~150+,,,limestone,,permanent ice,Cambrian,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,"Mt. Sinwa, Taku, Stikine",Icy Hope,,,56.9,-133.3,1499,200,,,limestone,,permanent ice,Triassic; cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,Inverted Ridge,Inverted Fridge,,,49.1,-114.8,1940,281,,,limestone,,permanent ice,Hoarfrost and ponded ice; cold trap / cold zone ?,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,Inverted Ridge,Global Cooling,,,49.1,-114.8,1940,133,,,limestone,,permanent ice,Hoarfrost and ponded ice; cold trap / cold zone ?,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,,Mount Bisaro,Supermans Glittering Ice Palace (SGIP),,,49.6,-115.6,2250,21,,,limestone,,permanent ice,cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,Glacier National Park,Nakimu Cave,,,51.3,-117.6,1576,6000,,,,,permanent ice,"Badshot marble Formation, Cambrian; cold trap; Large icefall",,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,Alberta,Wood Buffalo National Park,Walkin-Ice Cave,,,59.8,-112.2,252,1624,,,gypsum,,permanent ice,Devonian; Relict Cold Trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Canada,British Columbia,Top of the World Provincial Park,Wedge Cave,,,,,2200,60,,,limestone,,permanent ice,Massive ice; Cambrian; permafrost / cold trap,,,Yonge et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00015-2,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Voragine di Oltre M 40 Presso l'Ometto del Bregai,,,,,2090,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Abisso di val Laghetto,,,,,1823,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Aibsso Nel Bregai Medio,,,,,1930,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Abisso Delle Spade,,,,,2047,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Abusso sul Margine dell'Alto Bregai,,,,,2030,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Grotta delle Condotte Freatiche,,,,,2125,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Abisso dei Marons Glaces,,,,,2075,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Grotta del Pifferaio,,,,,2140,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Infermi nel Ghiaccio,,,,,2065,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Inferno di Ghiaccio,,,,,2120,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Moncodeno-Grigna Settentrionale,Holiday on Ice,,,,,2144,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
Italy,Lombardy,Piano delle Platigliole-Monte Scorluzzo,Grotta di Cristallo,,,,,2780,,,,,,permanent ice,,,,Maggi et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00019-X,,
North Macedonia,,Jakupica Mt.,Solunska Glava 5,,,41.68301,21.38879,2240,400,370,,,,permanent ice,large ice and snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Lednik (Ledenik),,,41.68577,21.38723,2135, >240,240,,,,permanent ice,large ice and snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Slovačka Jama,,,41.74017,21.34207,2241,2620,610,,,,permanent ice,large ice and snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Solunska Jama,,,41.71779,21.39363,2340,398,274,,,,permanent ice,large snow and ice deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,K12,,,41.73977,21.33535,2240,60,60,,,,,pit ending with ice and snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Ledomorna (Ľadomorňa),,,41.7537,21.3434,2153,27,27,,,,,pit ending with ice and snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Snežna Jama,,,41.71014,21.38912,2160,50,50,,,,,pit ending with ice and snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Mirska Voda 1,,,41.77585,21.28765,2107,59,51,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Milenkov Kamen 2,,,41.7663,21.29257,2107,48,47,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Milenkov Kamen 3,,,41.76483,21.29208,2071,64,53,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Snežana (Snehulienka),,,41.75771,21.34636,2164,194,58,,,,,small cave with passage covered by small snow and ice deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Ovča Propast (Ovčia Priepasť),,,41.73887,21.36837,2293,47,41,,,,,small cave with passage covered by small snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Sončeva Propast (Slnečný Golem),,,41.72268,21.38436,2325,45,15,,,,,small cave with passage covered by small snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Tečko,,,41.74797,21.35497,2189,18,14,,,,,small cave with passage covered by small snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Alena (Igelity),,,41.72582,21.35726,2131,114,17,,,,periodic ice,seasonal ice formations,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Jakupica Mt.,Ledena Peštera,,,41.86772,21.28486,991,,,,,,periodic ice,seasonal ice formations,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K1,,,41.6,20.6,1900-2100,89,59,,,,,small cave with passage covered by small snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K4,,,41.6,20.6,,73,53,,,,,small cave with passage covered by small snow deposit,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K6,,,41.6,20.6,,44,38,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K7,,,41.6,20.6,,37,37,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K8,,,41.6,20.6,,41,37,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K9,,,41.6,20.6,,71,32,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K10,,,41.6,20.6,,15,15,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K11-12,,,41.6,20.6,,99,53,,,,permanent ice,pit ending with snow and ice plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
North Macedonia,,Krčin Mt.,SLO-K13,,,41.6,20.6,,28,24,,,,,pit ending with snow plug,,,Temovski (2018) https://doi.org:10.1016/B978-0-12-811739-2.00022-X,,
Poland,,,Jaskinia Dmuchawa,,,,,1300,130,18,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Dudowa Studnia,,,,,1488,80,35,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa nad Kufą,,,,,1670,20,4,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Lejowa Szczelina,,,,,1730,8,4,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szczelina ze Śniegiem,,,,,1745,24,8,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Tylkowa Szczelina,,,,,1750,98,25,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Suchy Biwak,,,,,1695,70,18,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Bańdzioch Kominiarski,,,,,1456 lower entrance,9550,562,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Śnieżna Szczelina,,,,,1613,6,0,,,,,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szczelina pod Lodową,,,,,1591,6,2,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa Krakowska,,,,,1570,30,6,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa w Ciemniaku,,,,,1695,390,42,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szczelina w Tomanowym Grzbiecie III,,,,,1788,8,3,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szczelina w Tomanowym Grzbiecie I,,,,,1777,20,5,,,,,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Studnia w Dziurawem,,,,,1543,30,30,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Zimny Aven,,,,,1650,4,1,,,,,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa w Twardych Spadach,,,,,1480,152,40,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Studnia za Murem,,,,,1555,122,43,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szczelina w Ciemniaku,,,,,2047,27,19,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Studnia w Kazalnicy,,,,,1545,830,235,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa Miętusia,,,,,1590,85,25,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa Mułowa,,,,,1680,400,69,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Śnieżny Aven,,,,,1595,10,7,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa Ponorowa,,,,,1780,8,5,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,Tatra Mountains,Jaskinia Lodowa Litworowa,,,,,1576,460,150,,,,permanent ice,congelation ice,Ptasia Studnia,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Dziurka w Trawce,,,,,1763,179,28,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia za Ratuszem Śnieżna,,,,,1720,11,3,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Szara Studnia,,,,,1750,125,50,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Aven z Korkiem Śnieżnym,,,,,1644,12,10,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Strzelista,,,,,1701,83,18,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Ukryta Dziura,,,,,1812,32,8,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Średni Lej,,,,,1880,30,16,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Śnieżna Studnia,,,,,1756,12700,763,,,,permanent ice,"recrystallized snow, congelation ice",,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Świstowa Studnia,,,,,1670,28,16,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Dolny Lej,,,,,1763,6,6,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Bliźniacza Studnia,,,,,1795,80,45,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,Tatra Mountains,Jaskinia Śnieżna,,,,,1700,14954,622,,limestone,,permanent ice,"recrystallized snow, congelation ice",Jaskinia Wielka Śnieżna,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,Tatra Mountains,Jaskinia Wielka Śnieżna,,,49.24,19.923056,,23723,824,,limestone,,,,,Jaskinia Śnieżna; Jaskinia nad Kotlinami; Jasny Awen; Jaskinia Wielka Litworowa; Jaskinia Wilcza,https://en.wikipedia.org/wiki/Jaskinia_Wielka_%C5%9Anie%C5%BCna,,
Poland,,,Zaspałkowa Szczelina,,,,,1743,10,5,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Dziura przy Lodowej Małołąckiej I,,,,,1641,6,4,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Jaskinia Lodowa Małołącka,,,,,1634,360,53,,,,permanent ice,congelation ice,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Mnichowa Studnia,,,,,1640,50,22,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Chuda Mnichowa Studnia,,,,,1649,35,18,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Poland,,,Koprowa Studnia,,,,,1808,90,47,,,,permanent ice,recrystallized snow,,,Gradziński et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00024-3,,
Romania,,Apuseni Mountains,Gheţarul din Poiana Vârtop,,,,,,,,,,,permanent ice,,,,Brad et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00025-5,,
Romania,,Apuseni Mountains,Borţig Ice Cave,,,46.56,22.69,1236,,,,,,permanent ice,,,,Brad et al. (2018) https://doi.org:10.1016/B978-0-12-811739-2.00025-5; Kern et al. (2009) https://doi.org:10.1177/0959683609105296,,
